X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,CITY_NAME2,POP_updated,POP_updated_year,POP_SOURCE_updated,comments
-6551374.528,-2684831.321,103,103,Pozo Colorado,PRY-PHA,Presidente Hayes,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Pozo Colorado,,,,
-6353782.645,-2764257.396,104,104,San Pedro,PRY-SPE,San Pedro,PA,Paraguay,Provincial capital,0,0, ,0,1, ,San Pedro,355175,2022,citypopulation.de,department population
-6414451.205,-2913254.117,105,105,Asuncion,PRY-CNT,Central,PA,Paraguay,National capital,0,0, ,0,0, ,Asuncion,462241,2022,citypopulation.de,
-6286545.787,-3556361.279,106,106,Artigas,URY-ART,Artigas,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Artigas,74100,2020,citypopulation.de,department population
-6756870.198,-3713140.26,107,107,Santa Fe,ARG-SFE,Santa Fe,AR,Argentina,Provincial capital,534204,3,"500,000 to 999,999",13560,1,UN_Data_2010_2020,Santa Fe,391164,2010,citypopulation.de,
-6738391.608,-3727921.402,108,108,Parana,ARG-ERI,Entre Rios,AR,Argentina,Provincial capital,280520,4,"250,000 to 499,999",13570,0,UN_Data_2010_2020,Parana,247139,2010,citypopulation.de,
-6753078.084,-3887041.846,109,109,Rosario,ARG-SFE,Santa Fe,AR,Argentina,Other,1321765,2,"1,000,000 to 4,999,999",13630,0,UN_Data_2010_2020,Rosario,1348725,2022,citypopulation.de,department population
-6450964.554,-4152566.353,110,110,La Plata,ARG-BAI,Buenos Aires,AR,Argentina,Provincial capital,895110,3,"500,000 to 999,999",13770,0,UN_Data_2010_2020,La Plata,643133,2010,citypopulation.de,
-6313039.375,-4076569.77,111,111,San Jose De Mayo,URY-SJO,San Jose,UY,Uruguay,Provincial capital,0,0, ,0,0, ,San Jose De Mayo,36743,2011,citypopulation.de,
-6438719.635,-4093437.717,112,112,Colonia del Sacramento,URY-COL,Colonia,UY,Uruguay,Provincial capital,0,0, ,13140,0, ,Colonia del Sacramento,26231,2011,citypopulation.de,
