CITY_NAME,FIPS_CNTRY,POP_updated,POP_updated_year,POP_SOURCE_updated,city_type,comments,coder,match
Linden,GY,28674.0,2012.0,https://www.citypopulation.de/en/guyana/,Inland,https://statisticsguyana.gov.gy/wp-content/uploads/2019/10/Final_2012_Census_Count-1.pdf,llt,1
Siófok,HU,23742.0,2022.0,https://www.citypopulation.de/en/hungary/cities/,,Pop number not census/ 5174 Catchment area (Km2),llt,1
Siófok,HU,,,,,,hb,1
Selfoss,IC,9812.0,2024.0,Municipalities and urban nuclei - Statistics Iceland,inland,Iceland,vj,1
Selfoss,IC,9812,2024.0,CP,inland,,hb,1
Al Faw,IZ,35836.0,2018.0,CityPopulation.de,coastal,Masra in Iraq is not coastal by our definition as the distanve to the sea is around 70 km,vj,1
Al Faw,IZ,35836.0,2018.0,https://www.citypopulation.de/en/iraq/cities/,Coastal,"There are some bigger cities near the coast, but this one is the nearest",llt,1
Aqaba,JO,179027.0,2023.0,PopulationEstimatesbyLocality.pdf,Coastal,,llt,0
Al-'Aqabah,JO,148398.0,2015.0,CityPopulation.de,coastal,Jordan,vj,0
Balykchy,KG,51487.0,2022.0,https://www.citypopulation.de/en/kyrgyzstan/cities/,,,llt,1
Balykchy,KG,51487,2022.0,CP,inland,,hb,1
,KR,,,,,All cities in Kiribati are coastal.,vj,1
,KR,,,,,no city passed the criteria of population and distance,hb,1
Almaty,KZ,2161797,2023.0,CP,inland,red.,hb,0
Atyray,KZ,316468.0,2023.0,https://www.citypopulation.de/en/kazakhstan/cities/,Inland,,llt,0
,LA,,,,,No cities around the lake with proper population:distance,llt,1
,LA,,,,,,hb,1
Daugavpils,LG,81074.0,2021.0,https://www.citypopulation.de/en/latvia/cities/,Inland,,llt,1
Daugavpils,LG,81074.0,2021.0,CityPopulation.de,inland,Latvia,vj,1
Klaipeda,LH,159403.0,2024.0,CityPopulation.de,coastal,Lithuania,vj,1
Klaipeda,LH,159403.0,2024.0,https://www.citypopulation.de/en/lithuania/cities/,Coastal,Suppliment for boundary: https://osp.stat.gov.lt/en/lietuvos-regionai-2021/zmones/demografija,llt,1
Michalovce,LO,35584.0,2023.0,https://www.citypopulation.de/en/slovakia/cities/,Inland,,llt,1
Michalovce,LO,35584,2023.0,cp,inland,33 km²,hb,1
,LS,,,,,Country is too small,llt,1
,LS,,,,,,hb,1
,LT,,,,,No cities around the lake with proper population:distance,llt,1
,LT,,,,,413.9 km2,hb,1
Esch-sur-Sûre,LU,3188,2024.0,CP,inland,,hb,1
Esch-sur-Sûre,LU,3188.0,2024.0,https://www.citypopulation.de/en/luxembourg/cities/,Inland,"It is a commune, really small but have official website",llt,1
Costesti,MD,2028.0,2014.0,https://www.citypopulation.de/en/moldova/cities/,Inland,,llt,0
,MD,,,,,largest lake is 6.26 km²,hb,0
Khatgal,MG,3723.0,2021.0,https://www.citypopulation.de/en/mongolia/cities/,Inland,,llt,0
Chatgal,MG,3723,2021.0,CP,inland,,hb,0
Karonga,MI,61609,2018.0,CP,inland,,hb,1
Karonga,MI,61609.0,2018.0,https://www.citypopulation.de/en/malawi/cities/,Inland,,llt,1
Budva,MJ,20168.0,2023.0,CityPopulation.de,coastal,Montenegro,vj,1
Budva,MJ,20168.0,2023.0,https://www.citypopulation.de/en/montenegro/cities/,Coastal,,llt,1
Ohrid,MK,38818,2021.0,CP,inland,,hb,1
Ohrid,MK,38818.0,2021.0,https://www.citypopulation.de/en/northmacedonia/cities/,Inland,,llt,1
,ML,,,,,,hb,0
Raz El Ma,ML,4398.0,2009.0,https://www.citypopulation.de/en/mali/admin/goundam/6312__raz_el_ma/,Inland,"Another option would be Essakane, w smaller lake, but in the same area",llt,0
,MN,,,,,Monaco is a city state.,vj,1
,MN,,,,,,llt,1
Vacoas/Phoenix,MP,107433,2022.0,cp,inland,,hb,1
Vacoas/Phoenix,MP,107433.0,2022.0,CityPopulation.de,inland,Mauritius,vj,1
,MT,,,,,"if we consider the outter part of the ocean then Qormi, 18099, 2021",hb,1
,MT,,,,,All cities in Malta are coastal according to our definition.,vj,1
Izki,MU,23159.0,2020.0,https://www.citypopulation.de/en/oman/cities/,Inland,,llt,1
Izki,MU,23159.0,2020.0,CityPopulation.de,inland,Oman,vj,1
,NG,,,,,,hb,0
N'Guigmi,NG,23670.0,2012.0,https://www.citypopulation.de/en/niger/cities/,Inland,Arikoukouri (1347ppl) would be closer to the lake but it is a village in N'Guimi,llt,0
,NH,,,,,All cities in Vanutau are coastal.,vj,1
,NH,,,,,no city passed the criteria of population and distance,hb,1
Pokhara,NP,513504.0,2021.0,https://www.citypopulation.de/en/nepal/cities/,Inland,,llt,0
,NP,,,,,,hb,0
,NR,,,,,too small - less than 4km,hb,1
,NR,,,,,Nauru is too small an island to have a second city.,vj,1
,OD,,,,,No cities around the lake with proper population:distance,llt,1
,OD,,,,,,hb,1
,PA,,,,,28 square kilometers - Lake Ypoá ,hb,0
Aregua,PA,70298.0,2022.0,https://www.citypopulation.de/en/paraguay/cities/,Inland,,llt,0
,PS,,,,,all are coastal,hb,1
,PS,,,,,Palau has only coastal cities.,vj,1
Al Shahaniya,QA,67181.0,2020.0,CityPopulation.de,inland,Qatar,vj,1
Al Shahaniya,QA,67181.0,2020.0,https://www.citypopulation.de/en/qatar/cities/,Inland,,llt,1
,RB,,,,,5.6 km² - palićko,hb,0
Zrenjanin,RB,67129.0,2022.0,https://www.citypopulation.de/en/serbia/cities/,Inland,Belo Blato is closer but not on CP,llt,0
,RM,,,,,all are coastal - less than 1000,hb,1
,RM,,,,,Marshall Islands have only costal cities.,vj,1
Constanta,RO,263688.0,2021.0,https://www.citypopulation.de/en/romania/cities/,Coastal,Wiki to link to the source,llt,1
Constanta,RO,263688.0,2021.0,CityPopulation.de,coastal,Romania,vj,1
Antipolo,RP,879301.0,2020.0,CityPopulation.de,inland,Philippines,vj,0
Angeles,RP,1598955,2020.0,cp,inland,red. I am not sure where to measure -  it is 30 km depending! Second is Baguio,hb,0
Gisenyi,RW,149209,2012.0,CP,inland,,hb,1
Gisenyi,RW,149209.0,2012.0,https://www.citypopulation.de/en/rwanda/cities/,Inland,,llt,1
,SC,,,,,All cities are costal in St. Kitts and Nevis.,vj,1
